title,media,date,link
Rail fares: we've gone from passengers to customers to mugs,,19.02.2009,https://www.telegraph.co.uk/comment/4697544/Rail-fares-weve-gone-from-passengers-to-customers-to-mugs.html
City airport losing int'l passengers?,,02.02.2009,https://timesofindia.indiatimes.com/city/nagpur/City-airport-losing-intl-passengers/articleshow/4061520.cms
Turkish airliner crashes at Amsterdam airport  9 dead,Reuters,25.02.2009,https://www.reuters.com/article/us-crash-amsterdam/turkish-airliner-crashes-at-amsterdam-airport-9-dead-idUSTRE51O2J020090225
Pilots among 9 killed in crash of Turkish flight at Amsterdam airport,CBC.ca,Ausführlich · 25.02.2009,https://www.cbc.ca/news/world/pilots-among-9-killed-in-crash-of-turkish-flight-at-amsterdam-airport-1.780508
Nine killed as Turkish plane crashes near Amsterdam airport,CNN,Häufig zitiert · 25.02.2009,https://www.cnn.com/2009/WORLD/europe/02/25/turkish.plane.amsterdam/index.html
Plane crash lands at London City Airport,Telegraph.co.uk,14.02.2009,https://www.telegraph.co.uk/travel/travelnews/4617002/Plane-crash-lands-at-London-City-Airport.html
Smaller Planes Are Taking on a Bigger Share of the Skies,New York Times,14.02.2009,https://www.nytimes.com/2009/02/15/nyregion/15commuter.html
Passenger jet slips on to the grass at Heathrow as snow ...,Daily Mail,02.02.2009,https://www.dailymail.co.uk/news/article-1133782/Passenger-jet-slips-grass-Heathrow-snow-brings-chaos-Britains-airports.html
Denver’s startling airport mustang stirs opposition,Denver Post,08.02.2009,https://www.denverpost.com/2009/02/08/denvers-startling-airport-mustang-stirs-opposition/
Man caught smuggling pigeons in his trousers,Telegraph.co.uk,03.02.2009,https://www.telegraph.co.uk/news/worldnews/australiaandthepacific/australia/4445669/Man-caught-smuggling-pigeons-in-his-trousers.html
When Humans Need a Nudge Toward Rationality,New York Times,07.02.2009,https://www.nytimes.com/2009/02/08/business/08nudge.html
'This bike is a pipe bomb' band sticker clears Memphis terminal,,16.02.2009,https://www.cnn.com/2009/US/02/16/tenn.bike.bomb/index.html
Do Experiences Or Material Goods Make Us Happier?,,24.02.2009,https://www.sciencedaily.com/releases/2009/02/090223221532.htm
Embezzled funds from Ann Arbor hockey league spent on ...,,16.02.2009,https://www.mlive.com/news/ann-arbor/2009/02/embezzled_funds_from_ann_arbor.html
Few Buyers but Good Deals for Luxury Vacation Condos,New York Times,25.02.2009,https://www.nytimes.com/2009/02/26/your-money/26condos.html
Getting Homes Cleaned Between Rentals,New York Times,19.02.2009,https://www.nytimes.com/2009/02/20/greathomesanddestinations/20your.html
With Deals for '09  Disney Is Making It Tougher to Say No,New York Times,19.02.2009,https://www.nytimes.com/2009/02/22/travel/22pracdisney.html
Houston Green Screen Takes the Entire Ronald McDonald ...,PR Web,15.02.2009,https://www.prweb.com/releases/2009/02/prweb2054664.htm
Why Hitler told Luftwaffe: Blackpool must be spared,Daily Mail,23.02.2009,https://www.dailymail.co.uk/news/article-1152662/Why-Hitler-told-Luftwaffe-Blackpool-spared.html
Women-Only Hotels Heat Up,Forbes,05.02.2009,https://www.forbes.com/2009/02/04/vacation-business-trip-women-travel_0205_hotel.html
How to Take Your iPhone Overseas,,23.02.2009,https://www.wired.com/2009/02/how-to-take-you/
Crested Butte  Colo.  a Resort Town as Base for a White-Collar Career,New York Times,05.02.2009,https://www.nytimes.com/2009/02/06/greathomesanddestinations/06crested.html
Ontario's Family Day Holiday: Can We Afford It?,,15.02.2009,https://www.wired.com/2009/02/ontarios-fami-2/
Agatha Christie's holiday home opens to the public,,23.02.2009,https://www.telegraph.co.uk/culture/books/4785905/Agatha-Christies-holiday-home-opens-to-the-public.html
Turkey 2009: summer holiday planning guide - Telegraph,Telegraph.co.uk,05.02.2009,https://www.telegraph.co.uk/travel/destinations/europe/turkey/4521313/Turkey-2009-summer-holiday-planning-guide.html
Help us give Tamara her dream holiday,Basingstoke Gazette,14.02.2009,https://www.basingstokegazette.co.uk/news/4121079.help-us-give-tamara-her-dream-holiday/
'Jail is just like being on holiday': Killer boasts on Facebook ...,Daily Mail,16.02.2009,https://www.dailymail.co.uk/news/article-1146323/Jail-just-like-holiday-Killer-boasts-Facebook-prison-cell.html
Multi-million refurbishment unveiled for Brean Pontin's holiday ...,Burnham-On-Sea,03.02.2009,https://www.burnham-on-sea.com/news/pontins-brean-refurbishment-03-02-09/
Trail of the Unexpected: Agatha Christie's holiday home opens for guests,Independent,28.02.2009,https://www.independent.co.uk/travel/uk/trail-of-the-unexpected-agatha-christies-holiday-home-opens-for-guests-1633913.html
Reader's favourite holidays: what makes a perfect holiday ...,Telegraph.co.uk,08.02.2009,https://www.telegraph.co.uk/travel/4539042/Readers-favourite-holidays-what-makes-a-perfect-holiday.html
You can own a little bit of a good thing,Financial Times,13.02.2009,https://www.ft.com/content/f926924c-f9ff-11dd-9daa-000077b07658
UK's First Straw Bale Holiday Home by Carol Atkinson,Inhabitat,25.02.2009,https://inhabitat.com/yorkshire-straw-bale-cabin-by-carol-atkinson/
Foreclosing on a Plane  Then Flying It Away,New York Times,13.03.2009,https://www.nytimes.com/2009/03/14/business/14repo.html
Breezy: Airplane Architecture,NBC Los Angeles,04.03.2009,https://www.nbclosangeles.com/news/local/breezy__airplane_architecture___one_of_the_most_emailed____la/1871645/
Where Old Airplanes Go to Die,New York Times,27.03.2009,https://www.nytimes.com/2009/03/28/business/28iht-wbscrap.html
Looks Like I Picked the Wrong Week to Quit Sniffing Glue ...,Waiting For Next Year,23.04.2017,https://waitingfornextyear.com/2009/03/%E2%80%9Clooks-like-i-picked-the-wrong-week-to-quit-sniffing-glue%E2%80%9D-jackets-edge-penguins-in-shoot-out/
First roadable airplane takes flightFirst roadable airplane ...,AOPA Pilot,19.03.2009,https://www.aopa.org/news-and-media/all-news/2009/march/19/first-roadable-airplane-takes-flight
At Least 14 Dead in Montana Crash,New York Times,22.03.2009,https://www.nytimes.com/2009/03/23/us/23crash.html
A Wing and a Prayer: Safety Concerns Over Red Bull's 55-Year Old Seaplane,,27.03.2009,https://abcnews.go.com/Blotter/story?id=7192755&page=1
AIG Getting the Message on Corporate Jets?,,23.03.2009,https://abcnews.go.com/Blotter/story?id=7152971&page=1
Accident: Lionair MD90 at Jakarta on Mar 9th 2009  departed ...,The Aviation Herald,09.03.2009,http://avherald.com/h?article=41637705
For Fighter Pilots  Same Swagger  Different Jets,NPR,16.03.2009,https://www.npr.org/templates/story/story.php?storyId=101896956
REPORT: BMW Z2 gets green light  concept headed for Frankfurt,Autoblog,26.03.2009,https://www.autoblog.com/2009/03/26/report-bmw-z2-gets-green-light-concept-headed-for-frankfurt/
National: Bernd Nickel feiert 60. Geburtstag,FOCUS Online,15.03.2009,https://www.focus.de/sport/fussball/wm-2010/national-bernd-nickel-feiert-60-geburtstag_aid_380504.html
Brothels feel impact of financial crisis,The Local - Hamburg,22.03.2009,https://www.thelocal.de/20090322/18167
FrankfurtRheinMain GmbH International Marketing of the ...,,01.04.2009,https://www.businesswire.com/news/home/20090401005625/en/FrankfurtRheinMain-GmbH-International-Marketing-Region-Opens-Representative
